movie_idx,title,jumps,gore,dread,note
0,"Hereditary",,,,
1,"Midsommar",,,,
2,"The Witch",,,,
3,"Saint Maud",,,,
4,"The Exorcist",,,,
5,"Annihilation",,,,
6,"The Thing",,,,
7,"Possessor",,,,
8,"Suspiria",,,,
9,"Ringu",,,,
10,"Pulse",,,,
11,"The Wicker Man",,,,
12,"Apostle",,,,
13,"Lamb",,,,
14,"Possum",,,,
15,"Dead Silence",,,,
16,"Annabelle: Creation",,,,
17,"The Boy",,,,
18,"Mandy",,,,
19,"Color Out of Space",,,,
20,"The Lighthouse",,,,
21,"It Follows",,,,
22,"The Ritual",,,,
23,"X",,,,
24,"Pearl",,,,
25,"Talk to Me",,,,
26,"The Conjuring",,,,
27,"Bone Tomahawk",,,,
28,"I Saw the Devil",,,,
29,"Under the Skin",,,,
30,"Terrifier 2",,,,
31,"The Void",,,,
32,"Tumbbad",,,,
33,"The Orphanage",,,,
34,"Barbarian",,,,
35,"Get Out",,,,
36,"The Shining",,,,
37,"Alien",,,,
38,"Psycho",,,,
39,"Rosemary's Baby",,,,
40,"The Texas Chain Saw Massacre",,,,
41,"Halloween",,,,
42,"A Quiet Place",,,,
43,"The Babadook",,,,
44,"The Blair Witch Project",,,,
45,"The Descent",,,,
46,"Nope",,,,
47,"Train to Busan",,,,
48,"The Wailing",,,,
49,"A Tale of Two Sisters",,,,
50,"The Substance",,,,
51,"Longlegs",,,,
52,"Late Night with the Devil",,,,
53,"Oddity",,,,
54,"Nosferatu",,,,
55,"Raw",,,,
56,"[REC]",,,,
57,"Ju-On: The Grudge",,,,
58,"Audition",,,,
59,"Noroi: The Curse",,,,
60,"Dark Water",,,,
61,"Shutter",,,,
62,"Incantation",,,,
63,"Exhuma",,,,
64,"Gonjiam: Haunted Asylum",,,,
65,"Thirst",,,,
66,"The Host",,,,
67,"Sleep",,,,
68,"Bedevilled",,,,
69,"The Call",,,,
70,"The Quiet Family",,,,
71,"Cure",,,,
72,"Kwaidan",,,,
73,"Onibaba",,,,
74,"House",,,,
75,"One Cut of the Dead",,,,
76,"Tetsuo: The Iron Man",,,,
77,"Rigor Mortis",,,,
78,"Mr. Vampire",,,,
79,"Out of the Dark",,,,
80,"Double Vision",,,,
81,"The Eye",,,,
82,"Dumplings",,,,
83,"Detention",,,,
84,"The Sadness",,,,
85,"The Medium",,,,
86,"Satan's Slaves",,,,
87,"Impetigore",,,,
88,"Bulbbul",,,,
89,"Stree",,,,
90,"Under the Shadow",,,,
91,"A Girl Walks Home Alone at Night",,,,
92,"Terrified",,,,
93,"When Evil Lurks",,,,
94,"Tigers Are Not Afraid",,,,
95,"Possession",,,,
96,"Don't Look Now",,,,
97,"Eyes Without a Face",,,,
98,"Let the Right One In",,,,
99,"Martyrs",,,,
100,"Inside",,,,
101,"Deep Red",,,,
102,"The Beyond",,,,
103,"Kill List",,,,
104,"The Devil's Backbone",,,,
105,"Goodnight Mommy",,,,
106,"Speak No Evil",,,,
107,"Carrie",,,,
108,"The Omen",,,,
109,"Poltergeist",,,,
110,"A Nightmare on Elm Street",,,,
111,"Hellraiser",,,,
112,"The Fly",,,,
113,"Re-Animator",,,,
114,"Evil Dead II",,,,
115,"Candyman",,,,
116,"Scream",,,,
117,"The Others",,,,
118,"28 Days Later",,,,
119,"Session 9",,,,
120,"Sinister",,,,
121,"Insidious",,,,
122,"The House of the Devil",,,,
123,"Lake Mungo",,,,
124,"Paranormal Activity",,,,
125,"The Cabin in the Woods",,,,
126,"The Autopsy of Jane Doe",,,,
127,"Hush",,,,
128,"Creep",,,,
129,"It",,,,
130,"Us",,,,
131,"Hell House LLC",,,,
132,"His House",,,,
133,"The Dark and the Wicked",,,,
134,"Smile",,,,
135,"M3GAN",,,,
